"Job Title","Company","Location","Salary","URL"
"Data Scientist","Keep Truckin","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=eba9d908353a370b&fccid=f323638578df1c7f&vjs=3"
"Data Scientist","Entelo","San Francisco, CA 94107 (South Of Market area)","","http://www.indeed.com/rc/clk?jk=62e354bd3f37730d&fccid=d8c0fd447517a502&vjs=3"
"Data Scientist 2","Oracle","Redwood City, CA","","http://www.indeed.com/rc/clk?jk=7f12a5f2c8ead856&fccid=cd22d01053af7669&vjs=3"
"Computer Vision Engineer","Verkada","San Mateo, CA","","http://www.indeed.com/rc/clk?jk=6dad647ea6c5e995&fccid=17b2ec97e4ece7cf&vjs=3"
"Data Science Specialist","University of California San Francisco","San Francisco, CA 94104 (Financial District area)","","http://www.indeed.com/rc/clk?jk=d693cd79a88ec4be&fccid=2a341562d64c7cdb&vjs=3"
"Data Scientist Internship","Walmart Stores","San Bruno, CA 94066","","http://www.indeed.com/rc/clk?jk=8f87c97458881fc8&fccid=822bc5d9a49270ea&vjs=3"
"Software Developer","University of California San Francisco","San Francisco, CA 94104 (Financial District area)","","http://www.indeed.com/rc/clk?jk=043a051c8eb187dd&fccid=2a341562d64c7cdb&vjs=3"
"Software Engineer, Data","Fathom Health","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=2abdbf860210154e&fccid=9e88642c8c797c72&vjs=3"
"Quantitative Advertising Analyst","N3TWORK","San Francisco, CA","","http://www.indeed.com/rc/clk?jk=5285886b9c57ea49&fccid=57f4faaa1df750ea&vjs=3"
"Onsite Coordinator","Ergeon","Hayward, CA","","http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DFLW3Olgzq1AyhS8S-_L4J__MTsp5XJSQgQ5jlegEZuRov_3ExUZbJ_MW6ZWiq-LSNc6tIjiLOScCe61IVvheGuRKPeZlHc9po2ZPF_3NHtviDPPOx59aiGEMhEYX1__q1p4C1S2AI5woMvXPaUGmohJjS4ZvaIZQ-UuIfMXu-8lMQX9lTYcWyuX7NmuYqzrObrR118sPIg7iz4M4wNcSco68FNkJJ8o7C9kVmVMmPzYmS50qN0mS4rltLUFRCkshSXjLHg_XBTndEpFwfHbj90XoFH3ogYgRLEZi9k9NY15iwyK_CkYXTRhrMRdRUtzn81RdT7Qy_2AkNwqrvKEOuSwAU8IrIGuA85DTzdWudvOKh-sZqBZAO6BpwKF2vpK0acsSVqweqFfUAifqhVkT6_eL9cc_b-N1GdCxnKI5rZvZw-zcWI5iLbwNDPqPCbFz1Tq87NmeQTiqu6mMO8o01tObhO_l1cbhAJM5fzCoNZtT9IGE1A4VZo3DzDRMvsROArojc0Buu_f32sBoJcrp9K50y3s6Y4u3B1XX_BRG9UVs5ycR2KU_zp-5Uv2AZKdEvFk8Gi2IbIHJ3LqtpXwJc7GsxR65YlCrH4URHjWXHE9fpRMVJgCfqPE68DWC97d-aF6TKcZ1Z-6Qm-F2h39wNhiTmRgwSMvusAp13exnwblub-CvYVD-HD6uZH157AZNeDyS5ViyMhS6Y4LBJB3Lwy3VBJASJ8wRguScdkArqN2qB-v9Bp5vFZ5BcvijX4xeREvKnGt15N9ScmP_-xqOo&vjs=3&p=3&sk=&fvj=1"
"Data Science Specialist","University of California San Francisco","San Francisco, CA 94104 (Financial District area)","","http://www.indeed.com/rc/clk?jk=d693cd79a88ec4be&fccid=2a341562d64c7cdb&vjs=3"
"Part-time instructor of Statistics for Data Science and Machine Learning","Kaplan","San Francisco, CA 94105 (Financial District area)","","http://www.indeed.com/rc/clk?jk=70ff1a8174eaf3e8&fccid=4ffdd90de5b0ef8f&vjs=3"
"Data Analytics Undergraduate Intern","Kaiser Permanente","Oakland, CA","","http://www.indeed.com/rc/clk?jk=cbb40ee3f148532f&fccid=48ecd526e3aa3225&vjs=3"
"Machine Learning","Twitter","San Francisco, CA 94103 (South Of Market area)","","http://www.indeed.com/rc/clk?jk=85c036aa0176179d&fccid=7a3824693ee1074b&vjs=3"
"Data Scientist - Machine Learning / Deep Learning Specialist","Upstart","San Carlos, CA","","http://www.indeed.com/rc/clk?jk=556068084738f75b&fccid=655c994c77232147&vjs=3"
"Software Engineer - Machine Learning","Affirm","San Francisco, CA 94126 (Financial District area)","","http://www.indeed.com/rc/clk?jk=ba51b24c9f143e6f&fccid=5cf4e54c5ef78aa7&vjs=3"
"Machine Learning Internship","Walmart eCommerce","San Bruno, CA 94066","","http://www.indeed.com/rc/clk?jk=c702774510734d66&fccid=8c49e99f20f89e48&vjs=3"
